,Symbol,Security,GICS Sector,Market Cap,Average Volume
433,SNPS,Synopsys,Information Technology,69081000000.0,1056272.0
434,SYY,Sysco,Consumer Staples,38172000000.0,2469843.0
435,TMUS,T-Mobile US,Communication Services,169064000000.0,6535306.0
436,TROW,T. Rowe Price,Financials,27109000000.0,1310424.0
437,TTWO,Take-Two Interactive,Communication Services,25455000000.0,1774162.0
438,TPR,"Tapestry, Inc.",Consumer Discretionary,9723000000.0,3024843.0
439,TRGP,Targa Resources,Energy,18231000000.0,1609635.0
440,TGT,Target Corporation,Consumer Staples,61886000000.0,5542487.0
441,TEL,TE Connectivity,Information Technology,44431000000.0,1409482.0
442,TDY,Teledyne Technologies,Information Technology,19404000000.0,262835.0
443,TFX,Teleflex,Health Care,12155000000.0,281543.0
444,TER,Teradyne,Information Technology,17837000000.0,1752061.0
445,TSLA,"Tesla, Inc.",Consumer Discretionary,824133000000.0,137655083.0
446,TXN,Texas Instruments,Information Technology,170786000000.0,5220533.0
447,TXT,Textron,Industrials,13640000000.0,1197130.0
448,TMO,Thermo Fisher Scientific,Health Care,216848000000.0,1660340.0
449,TJX,TJX Companies,Consumer Discretionary,98352000000.0,4818214.0
450,TSCO,Tractor Supply,Consumer Discretionary,23633000000.0,1296279.0
451,TT,Trane Technologies,Industrials,44217000000.0,1295750.0
452,TDG,TransDigm Group,Industrials,48772000000.0,263498.0
453,TRV,Travelers Companies (The),Financials,39917000000.0,1225238.0
454,TRMB,Trimble Inc.,Information Technology,13069000000.0,1055474.0
455,TFC,Truist,Financials,44022000000.0,12635316.0
456,TYL,Tyler Technologies,Information Technology,16910000000.0,248214.0
457,TSN,Tyson Foods,Consumer Staples,18644000000.0,3755443.0
458,USB,U.S. Bank,Financials,58895000000.0,16606951.0
459,UDR,"UDR, Inc.",Real Estate,23787000000.0,2080595.0
460,ULTA,Ulta Beauty,Consumer Discretionary,22914000000.0,979396.0
461,UNP,Union Pacific Corporation,Industrials,132169999999.99998,2369770.0
462,UAL,United Airlines Holdings,Industrials,18894000000.0,6588027.0
463,UPS,United Parcel Service,Industrials,160869000000.0,3605911.0
464,URI,United Rentals,Industrials,31077000000.0,914861.0
465,UNH,UnitedHealth Group,Health Care,471596000000.0,3742441.0
466,UHS,Universal Health Services,Health Care,10489000000.0,681962.0
467,VLO,Valero Energy,Energy,44463000000.0,4207303.0
468,VTR,Ventas,Real Estate,19815000000.0,2313288.0
469,VRSN,Verisign,Information Technology,22412000000.0,460669.0
470,VRSK,Verisk,Industrials,33897000000.0,1155424.0
471,VZ,Verizon,Communication Services,142431000000.0,23975412.0
472,VRTX,Vertex Pharmaceuticals,Health Care,93352000000.0,1303667.0
473,VFC,VF Corporation,Consumer Discretionary,7537000000.0,6416983.0
474,VTRS,Viatris,Health Care,12566000000.0,9435069.0
475,VICI,Vici Properties,Real Estate,32929000000.000004,4954009.0
476,V,Visa Inc.,Financials,501085000000.0,6482556.0
477,VMC,Vulcan Materials Company,Materials,29579000000.0,818558.0
478,WAB,Wabtec,Industrials,20306000000.0,1052591.0
479,WBA,Walgreens Boots Alliance,Consumer Staples,26295000000.0,8963666.0
480,WMT,Walmart,Consumer Staples,426465000000.0,5693448.0
481,WBD,Warner Bros. Discovery,Communication Services,31499000000.0,22210338.0
482,WM,Waste Management,Industrials,70139000000.0,1412606.0
483,WAT,Waters Corporation,Health Care,17062999999.999998,600753.0
484,WEC,WEC Energy Group,Utilities,29137000000.0,1383261.0
485,WFC,Wells Fargo,Financials,168566000000.0,20329638.0
486,WELL,Welltower,Real Estate,40911000000.0,2470882.0
487,WST,West Pharmaceutical Services,Health Care,28013000000.0,394162.0
488,WDC,Western Digital,Information Technology,12254000000.0,3659359.0
489,WRK,WestRock,Materials,7776000000.0,2554161.0
490,WY,Weyerhaeuser,Real Estate,25176000000.0,4246385.0
491,WHR,Whirlpool Corporation,Consumer Discretionary,8199000000.0,730864.0
492,WMB,Williams Companies,Energy,41236000000.0,7451233.0
493,WTW,Willis Towers Watson,Financials,24857000000.0,554682.0
494,GWW,W. W. Grainger,Industrials,38578000000.0,283041.0
495,WYNN,Wynn Resorts,Consumer Discretionary,12197000000.0,2291675.0
496,XEL,Xcel Energy,Utilities,35889000000.0,3431401.0
497,XYL,Xylem Inc.,Industrials,27236000000.0,2186922.0
498,YUM,Yum! Brands,Consumer Discretionary,38523000000.0,1753820.0
499,ZBRA,Zebra Technologies,Information Technology,15761000000.0,364258.0
500,ZBH,Zimmer Biomet,Health Care,29696000000.0,1429980.0
501,ZION,Zions Bancorporation,Financials,5349000000.0,5914782.0
502,ZTS,Zoetis,Health Care,84802000000.0,2002720.0
